abacus n.算盘
spent a.用尽的,精疲力竭的
spindly adj.细长的，纤弱的
spine n.背骨,脊柱,尖刺
spleen n.脾;脾气,怒气
splint n.(固定断骨的)夹板，托板
spoil vt.搞糟；宠坏vi.(食物等)变坏n.掠夺物
spontaneous a.自发的,无意识的;自然的,天真率直的
spoof n.诳骗,愚弄,戏弄
sporadic a.偶而发生的
sprain n.扭伤
sprightly a.愉快的，活泼的
spur n.刺激物vt.刺激
spurious a.假的，伪造的
spurn v.拒绝，摈弃,一脚踢开
squabble n.吵嘴
squalid a.肮脏的；卑劣的
squall n.小骚乱狂风,暴风雪,哇哇叫声
squander vt.浪费
squelch n./v.压制，镇压
squint v.斜视
stagnant a.不流动的;(喻)不变的,不景气的
staid a.稳重的，沉着的
stalemate n.和棋局面，僵局
stalwart a.健壮的，坚定的n.忠实拥护者
stammer v.口吃，结巴
stanza n.(诗)节，段
stark a.完全的；光秃的
startle vt.使吃惊
static a.静止的,固定的;n.静电干扰
stature n.身材；重要性，水平，境界
status n.状态，状况;地位,身分
steadfast a.固定的,不变的,不动摇的;忠实的;坚贞不移的
stealth n.秘密行动,秘密,鬼祟
steep a.陡峭的，险峻的
stench n.臭气,恶臭
stentorian a.(指声音)极响亮的
sterile a.消毒的；不结果的
stickler n.坚持的人
stiff a.严厉的，激烈的；硬的，僵直的，不灵活的
stifle v.使不能呼吸,窒息,抑制
stigma n.耻辱
stilted a.夸张的,夸大的,踩高跷的
stint n.定量；限制
stipple v.点画，点描
stipulation n.约束,约定,契约
stock vt.储备n.原料;库存品;股票
stockade n.栅栏，围栏
stodgy a.索然无味的
stoic n.坚忍的人
stolid a.不易激动的
stouthearted a.刚毅的,大胆的
straggle v.迷路,落伍,蔓延
strait n.海峡;困难,窘迫
stratify v.(使)层化
stray a.漫游的，迷路的
strength n.力量,力气
striate v.加条纹a.有条纹的
stricture n.狭窄,苛评,束缚
stride v./n.大踏步走
strident a.刺耳的
strike vt.打,击;罢工n.罢工;打击;殴打
stringent a.严厉的；令人信服的；银根紧的
strip vt.剥,夺去；脱衣服n.条带
strut v.昂首阔步地走n.支柱,卖弄,炫耀
stubborn a.顽固的;难对付的
studio n.工作室,播音室
stultify v.使显得愚蠢;使无效,使无价值
stun vt.使震惊
stunt vt.&vi.阻碍(生长)；使绝招n.特技
sturdy a.强健的,坚实的
stygian a.地狱的,阴暗的,阴黑的,幽暗的
stylus n.铁笔,尖笔,唱针
stymie v.阻碍
subdue vt.使屈服、征服,克制;使柔和,使安静
subject a.受支配n.题目;学科;主语
subjugate vt.使屈服
sublime a.庄严的；最令人惊奇的
submerge vt.放于水下;使沉没
submissive a.服从的
subordinate n.部下，下级职员
subpoena 传票
subside vt.洪水退落;土地下沉;建筑物沉降;风浪平息,平静
subsidiary a.辅助的,补充的;次要的,附属的;n.子公司,附属机构
subsidy n.补助金,津贴
substantial a.物质的;本质的
substantiate vt.证实,证明
subtle a.微妙的,难于捉摸的;诡秘的,狡诈的;隐约的
subvert vt.破坏
succinct a.精炼的
succor v.救援,援助
suffuse v.(色彩等)弥漫，染遍
suite n.随员,套房,一组
sulk v.不高兴,闷闷不乐,愠怒,生气
sullen a.闷闷不乐的；阴沉的
summary n.摘要，概要a.概括的，简短的
summit n.顶点；最高级会议
summon vt.召唤,传唤;鼓起,聚集
sumptuous a.奢侈的
sunder v.分裂，分离n.分离,分开
supercilious adj.目中无人的，高傲的
superficial a.表面的；表皮的；肤浅的，一知半解的
superfluous a.过剩的,多余的,不必要的
supine a.仰卧的,掌心向上的,懒散的,向后靠的
supple a.柔软的
supplement n.补充(物)；增刊，附录vt.增补，补充
supplicate v.恳求，乞求
suppress vt.镇压;禁止发表;抑制(感情等);阻止…的生长
surfeit n.过量
surgeon n.外科医生,军医,船上的医生
surrender vi.投降；屈服，让步
surreptitious a.鬼鬼祟祟的，保密的
surrogate n.代理,代理人,代用品
suspend vt.吊,悬;推迟
suspicion n.怀疑,猜疑
svelte a.(女人)体态苗条的
swagger v.大摇大摆地走
swamp n./vt.沼泽地;使淹没
sway v./n.摇摆;统治,支配
swear vt./vi.诅咒，咒骂；宣誓n.誓言；骂人话
sweltering a.酷热的
swerve vt./vi.突然转向
swill v.冲洗，痛饮
swindle n.骗局
swing vi.摇摆,回转n.摇摆;秋千
sybarite (C)(文语)沉于奢侈逸乐者,爱奢侈享乐的人
sycophant n.马屁精
syllogism n.三段论法,推论法,演绎
sympathetic a.同情的，体谅的；赞同的，支持的
symphony n.交响乐,交响曲
synergic a.协作的，合作的
synopsis n.梗概
synthesis n.综合,合成法,合成物
taciturn a.沉默寡言的
tackle vt.解决,对付
tactile a.触觉的,有触觉的,能触知的
tactless a.无机智的,不机敏的,不得体的
tag n.标签,鞋带,绳子等末端的金属物,垂下物
taint n.感染
tame a.驯服的；沉闷的，乏味的v.驯服，制服
tamper vi.干预,乱弄
tangent a.接触的,切线的,相切的,离题的
tangible a.可触知的;明确的;确实的
tangy a.强烈的,扑鼻的
tantalize vt.逗引
tantamount a.等于
tantrum n.勃然大怒，脾气发作
taper n.细小的蜡烛;微光v.(使)逐渐变小/减少
tapestry n.挂毯，丰富多采的画面
tardy a.迟延的
tarnish vt./vi.(尤指金属表面)失去光泽;玷污
tarpaulin n.涂油防水布,防水衣,防水帽
tasty a.好吃的,可口的
tatty a.不整洁的，简陋的,低劣的,粗糙的
taunt vt.嘲笑
taut a.拉紧的；紧张的
tawdry a.俗丽的,非常华丽的
taxing a.繁重的,费力的
teal n.水鸭
tease vt.取笑,嘲笑;戏弄
tedious a.沉闷的,冗长乏味的(n.tedium)
teeter a.摇摆,摇摇欲坠,踌躇,犹豫不决
telling a.有效的,有力的;明显的
temerity n.鲁莽，大胆
temperate a.有节制的；温和的
tenable a.可防守的,守得住的;可保持的,可维持的
tenacious a.抓紧的,顽强的
tendentious a.有支持某种立场的,有倾向的
tepid a.微温的；不大热心的
terminus n.终点,界标,终点站
terror n.恐怖，引起恐怖的人(或物)
testator n.立遗嘱之人
testimony n.证词
testy a.易怒的
tether vt.拴住
theatrical a.剧场的,夸张的,戏剧性的
theology n.神学，宗教
thorny a.多刺的,痛苦的
threadbare a.磨破的，陈腐的
thrive v.兴旺，繁荣，茁壮成长
throng n.人群,群众;vt.群集,拥挤
thwart vt.阻挠
ticklish a.怕痒的，问题棘手的
tiff n./v.小争吵,生气
tightfisted a.吝啬的
timeworn a.陈旧的,老朽的
timid adj.胆怯的，害羞的，怯懦的
timorous a.胆小的，胆怯的
tinge vt.(较淡)着色于,染色;使带有…气息;n.淡淡色彩,些微的气息
tinker n.(流动的)补锅工人;v.做拙劣修补
tint n.色彩
tirade n.激烈演说
toady v.谄媚,拍马屁
tolerance n.容忍,宽恕;忍耐力
tong n.钳,煤钳,堂,帮会
tonic n./a.滋补品,补药;强身的,健体的
tonsorial a.理发师的,理发的
torpid a.迟钝的
torpor n.迟钝；麻木
torrential a.奔流的,如急流的,猛烈的
torrid a.酷热的
tortuous a.弯曲的
tourniquet n.止血器,绞压器,驱血带
tractable a.驯良的；易处理的
trait n.特征,品质
transcend vt.超出,超过
transfigure vt.使变形,美化,理想化
transgress vt./vi.超越限度;违反(法律规则)
transient a.短暂的
transitory n.暂时的
translucent a.透明的,半透明的
transparent a.透明的；易理解的；显然的
traverse vt.横越,穿过
travesty n.滑稽模仿
treacherous a.背叛的；危险的
treasurer n.司库,财务员,出纳员
tremendous a.极大的;非常的
tremulous a.发抖的,战栗的,胆小的
trenchant a.锐利的,尖刻的,苛刻的,清晰的,分明的
trepidation n.忧虑
trespass vt.非法侵入;侵夺,侵占
tribute n.贡物；称赞
trickle v./n.(使)滴流,(使)细流
trite a.陈腐的,陈词滥调的
triumph n.凯旋,胜利vi.成功
trivial a.不重要的,琐屑的;平常的,平凡的
trophy n.奖品；战利品
truant n.逃学，逃学者a.偷懒的,旷课的,游荡的
truculent a.残暴的，凶狠的
trudge vi.跋涉
truncate v.把(某物)截短，去尾
truss n.(干草的)一捆,一束,构架
tumult n.喧嚣
turbid a.浑浊的
turbulent a.狂暴的,骚乱的;汹涌的
turgid a.浮肿的，浮夸的,复杂地n.肿胀,冗长
turmoil n.骚动,骚乱
turncoat n.背叛者,变节者
turret n.小塔,塔楼,炮塔
tutor n.指导教师
typo n.打字排版错误
ugly a.难看的，丑陋的；讨厌的，丑恶的，卑劣的
unavailing a.无益的,无用的,无效的,徒劳的
uncanny a.不可思议的
uncouth a.笨拙的
unctuous a.油腔滑调的
underdog n.牺牲者,受害者,输家
undermine vt.破坏
unexceptionable a.无懈可击的,极好的,完全的
unexceptional a.非例外的,普通的,平凡的
ungainly a.笨拙的,难看的
unimpeachable adj.无可指摘的，无可置疑的
unkempt adj.(衣服，头发)不整洁的
unlettered a.无教育的,无学问的,文盲的
unpalatable a.不适口的,味道差的,不好吃的
unpretentious a.不炫耀的,含蓄的,谦虚的
unrequited a.无报答的,不受报酬影响
unruly a.任性的
untenable a.难以防守的,站不住脚的
untold a.无数的,数不清的
untoward a.不幸的，(坏事)没料到的
untutored a.未受教育的,粗野的,幼稚的
unwitting a.无意的
unwonted a.不习惯的,不寻常的,非习常的
uphold vt.支撑；支持，拥护；举起；确认，肯定
uproar n.骚动
upset vt.使不适,使心烦n.混乱
urbane a.有礼貌的
urge vt.推进;催促n.冲动
usurp vt.篡夺
utter vt.说，发出(声音)说明a.完全的，十足的
vaccinate v.预防接种
vacillate a.摇动的;摇摆的;犹豫不决的
vacuous a发呆的,无意义的,空的,空虚的,心灵空虚的
vagary n.变化莫测
vagrant n.流浪汉,漂泊者,无赖
vague a.模糊的，不明确的；说话含糊不清的
valediction n.告别演说，告别词
valiant a.勇敢的
valid a.可以成立的；有效的
vanquish vt.征服,击败
vapid a.无生气的
vaporize v.(使)蒸发
variance n.分岐；差异
varnish n.清漆；虚饰
vault n.窖,地下室,撑竿跳,圆顶
vaunt v.自夸
veer vi.转向
vehement a.热烈的
venal a.唯利是图的，贪脏枉法的
vendor n.小贩；(尤指房屋、土地等的)卖方
veneer n.(镶于劣质东西上的)镶面板，外表
venerate vt.崇敬,崇拜
vengeful a.复仇心重的,报复的
venial a.(错误等)轻微的，可原谅的
venom n.恶意
ventilate vt.使通风;公开讨论
veracious adj.诚实的，说真话的
verbatim a.逐字的,照字面的
verbose a.冗长的
verdant a.葱郁的
verdict n.裁决,定论
verify vt.provetobetrue,conform证实；证明
vernacular a.地方的,用地方语写成的n.方言,白话,行话
versatile a.多才多艺的;多功能的
vertigo n.眩晕
verve n.气魄,神韵,活力
vessel n.容器;船
vestigial a.痕迹的,遗迹的,退化的
veteran n.老兵,老手
veto n.否决,禁止,否决权vt.否决,禁止
vex vt.使烦恼,使苦恼
viable a.能活的,能生存的
vibrant a.震动的；明亮的；充满活力的
vicarious a.代理的,担任代理的,替身的
vicious a.恶意的,恶毒的;危险的,会造成伤害的
vicissitude n.变化,变迁,荣枯,盛衰
victimize v.使牺牲；使受害
vigilant a.警戒的,警惕的
vignette n.小巧可爱的插图或照片
vigor n.活力
vim n.精力，活力
vindicate vt.为…辩白;证明…正确
vindictive adj.报复性的
violate vt.违犯,违背
virility n.雄劲，丈夫气
virtuoso n.演艺精湛的人，大师
virtuous a.善良的,有德行的
virulent a.恶意的
viscous a.粘滞的，粘性的
vista n.街景,展望,回想
vitality n.活力,生命力
vitiate v.使腐败，败坏
vitrify v.变成玻璃,成为玻璃状
vitriolic a.硫酸的,象硫酸的,刻薄的,讽刺的
vituperative a.辱骂的，责骂的
vivacious a.活泼的，快活的
vivid a.生动的,鲜明的,大胆的,清晰的,活泼的
vociferous a.嘈杂的
vogue n.流行物,时髦
volatile a.(液体)易挥发的,(人)反复无常的
volition n.自决，自主
voluble a.流利的,健谈的,易旋转的,缠绕的
voluminous a.大的
voluptuous adj.撩人的，沉溺酒色的
vomit vt./vi.呕吐;大量喷出
voracious a.贪婪的
votary n.崇拜者，热心支持者
vouch vi.担保
vulgar a.粗俗的,趣味不高的,通俗的,庸俗的
waffle v.闲聊,胡扯n.蛋奶烘饼,华夫饼
wag vt.摆动
wan a.苍白的
wane vi.月亮变小,月亏;衰退
want vt.想要n.需要；缺乏
wanton a.胡乱的
wardrobe n.衣柜,衣橱,全部服装,剧服,行头
warmonger n.战争贩子,好战者,主战论者
warp vt.弄歪,使翘曲,使不正常,歪曲,使有偏见
warrant n.许可证；理由vt.保证
wastrel n.浪费者,饭桶,流浪者,废品,浪子
waterproof a.耐水的，防水的vt.使不透水，使防水
watershed n.分水岭，流域
wax v.上蜡于n.蜡,耳垢
waylay v.埋伏,伏击
weld v./n.焊接
wheedle v.以甜言蜜语诱惑,用甜言蜜语骗,
whet v.磨,磨快,刺激,促进
whiff n.一吹,一吸,香烟的一口,一点点,
whimsical a.反复无常的
wholesome a.健康的,有益于健康的
wicked a.坏的;邪恶的
wily a.狡猾的
wince vi.退缩
windbag n.风囊,饶舌之人,好说话的人
winnow v.把(谷物)的杂质吹掉，扬去
winsome adj.媚人的，漂亮的
wit n.(pl.)智力，才智，机智；(pl.)健全的头脑
witch n.巫婆,女巫
withdraw vt.收回;撤退vi.撤退
wither vt./vi.使枯萎,使凋谢;使人感觉羞惭或迷惑
withhold vt.拒绝给某事物;抑制
wizen a.凋谢的,枯萎的
wobble n.摇动
woo v.向(女人)求爱，争取…的支持
wordsmith n.擅长文字创作的人
worldly a.世俗的；世故的
worship n.礼拜，礼拜仪式；崇拜v.崇拜；做礼拜
wrangler n.口角者,争论者,牧马者
writ n.命令状，书面命令
wry a.讽刺的；扭曲的
yield vt.出产vi.屈服n.产量
yoke n.牛轭;枷锁;纽带
zeal n.热心，热情，热忱
zest n.兴趣,乐趣;滋味,风味
zigzag n./a.之字形(的)v.弯弯曲曲地行进
zone n.地区,区域
