Africa n.非洲
squamose adj.有鳞片的,鳞状的
squamous ['skweiməs] 有鳞片的鳞片状的
squamulose ['skwæmjuləus] adj.[植]有小鳞片的多小鳞片的
squander ['skwɔndə] v.浪费
squanderer ['skwɔndərə] n.浪费者,放荡者
square [skwɛə] n.正方形,广场,平方,直角尺adj.正方形的,四方的,直角的,正直的,公平的,结清的,平方的,彻底的adv.成直角地,正直地,公平地,坚定地v.使成方形,弄平,使直,与...一致,符合,自乘,结算
squarely ['skwɛəli] adv.方形地,直角地,四角地
squarish ['skwɛəriʃ] adj.有点方的
squarrose ['skwɛərəus] [生]具有糙鳞的,糠秕状的
squash [skwɔʃ] n.南瓜,易压烂的物品,拥挤的人群,壁球v
squashy ['skwɔʃi] adj.易压碎的,又湿又软的,熟透的
squat [skwɔt] v.蹲坐,蹲伏n.蹲坐adj.蹲着的
squatter ['skwɔtə] n.蹲着的人vi.涉水而过
squatty ['skwɔti] adj.矮胖的
squaw ['skwɔ:] n.女人,妻子
squawfish ['skwɔ:fiʃ] n.大型食用淡水鱼
squawk [skwɔ:k] v.发出叫声,诉苦,抗议n.叫声,诉苦,抗议,故障
squeak [skwi:k] n.尖叫声,吱吱声,机会v.发出尖叫声
squeal [skwi:l] v.长声尖叫,告密,抱怨,激烈抗议n.长而
squeamish ['skwi:miʃ] adj.过于拘谨的,洁癖的,易呕吐的,神经质的
squeegee ['skwi:dʒi:] n.橡胶扫帚,橡胶滚轴vt.使用橡胶扫帚,用
squeezability 威吓,压迫
squeeze [skwi:z] n.压榨,挤v.压榨,挤,挤榨
squeezer ['skwi:zə] 扑克牌,剥削者
squelch [skweltʃ] v.压制
squeteague [单复同]n.[鱼]犬牙石首鱼
squib [skwib] n.爆竹
squid [skwid] n.鱿鱼,钓乌贼的钓钩,反潜艇发射装置
squiffed [skwift] adj.喝醉的
squiggle ['skwigl] n.胡乱写的字,花体
squilgee n.&vt.=squeegee[受squelch影响的变体
squill [skwil] [动]虾蛄,螳螂虾
squilla ['skwilə] n.[动]虾蛄,螳啷虾
squinch [skwintʃ] n.突角拱
squint [skwint] v.斜视
squire ['skwaiə] n.乡绅,律师,侍从,大地主,治安官v.随
squirearchy ['skwaiərɑ:ki] n.地主政治,地主阶级
squirm [skwə:m] v.蠕动n.蠕动
squirrel ['skwirəl] n.松鼠v.贮藏
squirrelly ['skwə:rəli] adj.古怪的,疯狂的
squirt [skwə:t] v.喷出
squish [skwiʃ] n.咯吱声,果酱vt.压扁,压烂vi.咯吱吱地
stab [stæb] n.刺,刺伤的伤口,一阵突然而强烈的感觉,
stabbing ['stæbiŋ] adj.刺穿的,伤感情的
stabile ['steibil] n.固定的雕刻物adj.稳定的,固着的
stabilise ['steibilaiz] v.<主英>=stabilize
stability [stə'biliti] n.稳定性
stabilization [,steibəlai'zeiʃn] n.稳定性
stabilize ['steibilaiz] v.稳定
stabilizer ['steibilaizə] n.稳定器,安定装置,水平尾翼
stable ['steibl] adj.稳定的
stableman ['steiblmən] n.马夫
stablish v.使坚固
staccato [stə'kɑ:təu] n.断奏,断唱
stack [stæk] n.堆,一堆,堆栈v.堆叠
stacker [计]栈式存储器
stacte ['stækti] n.制造香料的没药
staddle ['stædəl] [古,方]草堆的底部堆草平台
stade (古希腊罗马的)赛跑场(长607英尺,周围有台
stadia n.视距,视距仪器,stadium的复数
stadium ['steidiəm] n.露天大型运动场
staff [stɑ:f] n.棒,杖,杆,支柱,全体职员,[军]参谋机构,[音]五线谱vt.供给人员,充当职员
staffer ['stɑ:fə] n.编辑,职员
stag [stæg] n.牡鹿,阉割过的雄鹿,刚长大的雄家禽,不
stage [steidʒ] n.舞台,戏剧,活动场所,发展的进程,阶段
stagecoach ['steidʒkəutʃ] n.公共马车
stagecraft ['steidʒkrɑ:ft] n.编剧才能,上演术
stagehand ['steidʒhænd] n.舞台管理
stager ['steidʒə] n.老练的人,经验丰富的人,<古>演员
stagestruck ['steidʒ,strʌk] adj.一心想做演员的
stagflation ['stæg'fleiʃən] n.不景气状况下之物价上涨
stagger ['stægə] v.摇晃,蹒跚,交错,摇摇摆摆adj.交错的
staggerbush n.[植]马氏南烛
staggering ['stægəriŋ] adj.令人吃惊的
stagily 
staginess 
staging ['steidʒiŋ] n.分段运输
stagnancy ['stægnənsi] n.停滞,迟钝
stagnant ['stægnənt] adj.停滞的,迟钝的
stagnate ['stægneit] v.(使)淤塞,(使)停滞,(使)沉滞,(使)变萧
stagnation [stæg'neiʃən] n.停滞
stagy ['steidʒi] adj.做作的
staid [steid] adj.沉静的
stain [stein] n.污点,瑕疵v.染污,沾污
stained [steind] 玷污的褪色的
stainer ['steinə] n.色料,染色工人,上釉工人
stainless ['steinlis] adj.纯洁的,无瑕疵的,不锈的
stair [stɛə] n.(阶梯的某)一级,楼梯
staircase ['stɛəkeis] n.楼梯
stairway ['stɛəwei] n.楼梯
stake [steik] n.树桩
stakeholder ['steik,həuldə] n.赌金保管者
stalactite ['stæləktait] n.[地]钟乳石
stalag ['stæləg] n.<德>战俘营
stalagmite ['stæləgmait] n.[地]石笋
stale [steil] n.(牲畜等的)尿adj.不新鲜的,陈腐的,疲倦的,陈旧的vt.使变旧,走味vi.变陈旧,变无味,失时效,撒尿
stalemate ['steil,meit] n.僵局v.成为僵局
stalk [stɔ:k] n.茎,柄,梗,秆
stall [stɔ:l] n.货摊,畜栏,厩,出售摊v.(使)停转,(使)停止,迟延
stallion ['stæljən] n.牡马(尤指种马),留种的雄兽
stalwart ['stɔ:lwət] adj.坚定的
stalworth adj.<古>=stalwart
stamen ['steimən] n.雄蕊,雄性花蕊
stamina ['stæminə] n.毅力,持久力,精力
staminal ['stæminəl] adj.[植]雄蕊的,由雄蕊组成的,在精力的,
staminate ['stæminit] adj.有雄性花蕊的
staminodium n.[植]退化雄蕊
staminody n.[植](除雄蕊以外花的器官的)变成雄蕊
stammel 一种粗毛布(常染成红色,过去常用于外衣布
stammer ['stæmə] v.口吃,结巴着说出,结结巴巴地说n.口吃
stammerer ['stæmərə] n.口吃的人
stamp [stæmp] n.邮票,印花,印,图章,标志,印记,跺脚
stampede [stæm'pi:d] n.惊跑v.惊跑
stamper ['stæmpə] n.打印者,模压工,压模
stamping [stæmp] v.冲压n.冲压
stance [stæns] n.姿态
stanch [stɑ:ntʃ] vt.使止血,止,止流,止血adj.不透水的,
stanchion ['stɑ:nʃən] n.支柱v.用支柱支撑
stand [stænd] n.停止,抵抗的状态,立场,立足点,看台,架子,台v.站,立,站起,(使)竖立,(使)位于,维持不变,持久,经受
stand-alone ['stændə'ləun] n.单机,卓越
standard ['stændəd] n.旗,军旗,标准,规格,本位adj.标准的,
standardbred ['stændəd,bred] n.标准竞赛用马
standardization [,stændədai'zeiʃn] n.标准化
standardize ['stændədaiz] vt.使符合标准,使标准化
standardized ['stændədaiz] 标准的,定型的-zing
standby ['stændbai] n.可以信任的人,使船待命的信息备用
standee [stæn'di:] n.站着看的人,(公共汽车上的)站客
standing ['stændiŋ] adj.直立的,停滞的,固定的,常备的,标准
standish ['stændiʃ] n.墨水台
standoff ['stændɔ:f] adj.冷淡的,有支架的n.离岸,避开,冷淡,
standoffish ['stænd'ɔ:fiʃ] adj.有点不友好的，冷淡的
standout ['stændaut] n.杰出的人adj.出色的,杰出的
standpat ['stændpæt] adj.固执保守的
standpatter ['stænd,pætə] n.保守分子
standpipe ['stændpaip] n.竖管,管体式水塔
standpoint ['stændpɔint] n.立场,观点
standstill ['stændstil] n.停止,停顿
stane n.,adj.&vt.<英格兰>=stone
stang 刺刺伤
stanhope ['stænəp] n.单人乘座轻马车的一种,印刷机的一种
stank [stæŋk] vbl.stink的过去式
stannary ['stænəri] n.锡矿山,锡矿区
stannic ['stænik] adj.[化]锡的,四价锡的
stannite n.[矿]黝锡矿
stannous ['stænəs] adj.[化]锡的,含有锡的,含二价锡的
stanza ['stænzə] n.节,演出期,比赛中的盘
stapelia [stə'pi:liə] n.[植]五角星花
stapes ['steipi:z] n.[解]镫骨
staph [stæf] n.<口>=staphylococcus
staphylococcic adj.[医]由葡萄球菌引起的
staphylococcus [,stæfilə'kɔkəs] n.[微生物]葡萄状球菌
staple ['steipl] n.钉书钉,钉,主要产品(或商品),原材料,
stapler ['steiplə] n.订书机
star [stɑ:] n.星,恒星,明星,名角
star-crossed ['stɑ:krɔst] adj.时运不济的
starboard ['stɑ:bəd] n.右舷
starch [stɑ:tʃ] n.淀粉,[喻]拘谨,古板,生硬
starchy ['stɑ:tʃi] adj.含淀粉的，刻板的
stardom ['stɑ:dəm] n.演员的身份,演员们
stardust ['stɑ:,dʌst] n.星团,幻觉
stare [stɛə] v.(～at)凝视,盯着看
starfish ['stɑ:fiʃ] n.海星
stargazer ['stɑ:,geizə] n.占星师,空想家,天文学家
stark [stɑ:k] adj.刻板的,十足的,赤裸的,荒凉的adv.
starless ['stɑ:lis] adj.没有星的,没有星光的
starlet ['stɑ:lit] n.小星星,初涉影坛的演员,小明星
starlight ['stɑ:lait] n.星星的闪光,星光
starling ['stɑ:liŋ] n.八哥
starlit ['stɑ:lit] adj.星光的
starry ['stɑ:ri] adj.布满星星的
start [stɑ:t] n.动身,出发点,开始,惊起,惊跳,赛跑的
starter ['stɑ:tə] n.起动器,起动钮
starting ['stɑ:tiŋ] n.出发,开始
startle ['stɑ:tl] v.震惊
startling ['stɑ:tliŋ] adj.令人吃惊的
starvation [stɑ:'veiʃən] n.饥饿,饿死
starve [stɑ:v] vt.使饿死vi.饿得要死
starveling ['stɑ:vliŋ] n.挨饿者,饿瘦了的人adj.挨饿的,饿瘦了
stash [stæʃ] v.藏匿，隐藏
stasis ['steisis] n.停滞,郁积
state [steit] n.情形,状态,国家,政府,州adj.国家的,国有的,国营的,州的,正式的,典礼用的vt.声明,陈述,规定
statecraft ['steitkrɑ:ft] n.管理国家的本领
stated ['steitid] adj.定期的,规定的,一定的
stateless ['steitlis] adj.没有国家的
stately ['steitli] adj.庄严的,堂皇的
statement ['steitmənt] n.声明,陈述,综述
stater ['steitə] n.古代希腊的金币单位
stateroom ['steitrum] n.[船]特等客舱,[火车]高级包厢,政府公寓
statesman ['steitsmən] n.政治家
statesmanlike ['steitsmənlaik] adj.有政治家风格的,有政治家之身份的
statesmanship ['steitsmənʃɪp] n.政治才能
static ['stætik] adj.静态的,静力的静电噪声
staticky 
statics ['stætiks] n.[物]静力学
station ['steiʃən] n.位置,岗位,地位,身份,...局,...站v
stationary ['steiʃənəri] 固定的
stationer ['steiʃənə] n.文具商,文具店
stationery ['steiʃənəri] n.文具,信纸
stationmaster ['steiʃən,mɑ:stə] n.站长
statism ['steitizəm] n.中央集权下的经济统制
statist ['steitist] n.统计学者,中央经济统制论者
statistic [stə'tistik] n.统计量adj.统计的,统计学的
statistical [stə'tistikəl] adj.统计的,统计学的
statistically [stə'tistikli] adv.统计上地,统计地
statistician [,stætis'tiʃən] n.统计员,统计学家
statistics [stə'tistiks] n.统计学,统计表
statocyst ['stætəsist] [植]平衡囊
statolith ['stætliθ] [植]平衡石
stator ['steitə] n.定子,固定片
statoscope ['stætəskəup] n.[空]微动气压仪,灵敏高度表
statuary ['stætjuəri] n.雕像，雕塑艺术
statue ['stætju:] vt.以雕像装饰n.雕像
statuesque [,stætju'esk] adj.雕像般的,均衡的,轮廓清晰的
statuette [,stætju'et] n.小雕像
stature ['stætʃə] n.身高,身材,(精神、道德等的)高度
status ['steitəs] n.身份,地位,情形,状况
statutable ['stætjutəbl] adj.法令的,法规的
statute ['stætju:t] n.法令,条例
statutory ['stætjutəri] adj.法令的,法定的
staunch [stɔ:ntʃ] adj.坚定的
staurolite ['stɔ:rəlait] [矿]十字石
stave [steiv] n.狭板,梯级,棍棒,诗句vt.击穿,弄破,
staves [steivz] 杖,棍
stavesacre ['steivz,eikə] [植]斯塔维翠雀,虱草(产于欧、亚两洲,其
stay [stei] n.逗留,延缓,中止,支柱v.在,暂住,坚
stayer ['steiə] n.滞留者,耐性极强的人,支持者,抑制物
staying [stei] 撑(法)
staysail ['stei,seil] n.支索帆
stead [sted] n.替代,用处,好处v.对...有利,对...有
steadfast ['stedfəst] adj.坚定的
steadfastness ['stedfəstnis] n.坚定,稳当
steadier 支架,支座,底座3
steadily ['stedili] adv.稳定地,有规则地
steadiness ['stedinis] n.坚定性
steading ['stediŋ] n.农场的建筑物,小农场
steady ['stedi] adj.稳固的,稳定的,坚定的,扎实的,坚定
steak [steik] n.(供煎,烤等的)肉,鱼,肉片,鱼片,肉排
steal [sti:l] v.偷,窃取,偷窃,偷盗
stealing ['sti:liŋ] n.偷窃,贼赃,偷垒adj.有偷窃行为的
stealth [stelθ] n.秘密行动
stealthily ['stelθili] adv.暗地里,悄悄地
stealthy ['stelθi] adj.鬼鬼祟祟的,秘密的,掩人耳目的
steam [sti:m] n.蒸汽,水汽vi.蒸发vt.蒸
steamboat ['sti:mbəut] n.汽船,轮船
steamer ['sti:mə] n.汽船,蒸汽机
steamroller ['sti:m,rəulə] n.压路机
steamship ['sti:mʃip] n.汽船,轮船
steamy ['sti:mi] adj.蒸汽的,多蒸汽的
steapsin n.[生化]胰脂酶
stearate n.[化]硬脂酸盐
stearic [sti'ærik] adj.[化]硬脂的,似硬脂的,硬脂酸的,十八
stearin ['stiərin] n.[化]硬脂,硬脂酸甘油油酯
steatite ['stiətait] n.[矿]块,滑石,皂石,(绝缘用的)滑石石瓷
steatolysis [,sti:ə'tɔləsis] [化]脂肪分解
steatopygia 臀部特别肥突(尤指妇女)
steed [sti:d] n.[诗]马,战马
steek [sti:k] [苏]关(门,窗),缝
steel [sti:l] n.钢,钢铁
steelhead 虹鳟
steelworks ['sti:lwə:ks] 钢厂
steely ['sti:li] adj.似钢的
steep [sti:p] adj.陡峭的,险峻的,急剧升降的,不合理的n.悬崖,峭壁,浸渍,浸渍液v.浸,泡,沉浸
steepen ['sti:pən] vt.使陡峭vi.变陡峭
steepish ['sti:piʃ] 
steeple ['sti:pl] n.尖塔
steeplechase ['sti:pltʃeis] n.障碍赛
steeplejack ['sti:pldʒæk] n.高空作业工人
steer [stiə] v.驾驶,掌舵
steerage ['stiəridʒ] n.最低票价的舱位,士官的二等室,操纵,驾
steering ['stiəriŋ] n.操纵,掌舵,指导
steersman ['stiəzmən] n.舵手
steeve [sti:v] n.吊杆,起重桅vt.使装入船舱,使倾斜vi.
stegosaurus [,stegə'sɔ:rəs] n.[古生]剑龙
stein [stain] n.(容量约为一品脱的)陶质(或玻璃)啤酒杯
stela ['stelə] 石碑石柱(古代多为建筑装饰的一部分,其
stele ['sti:li] n.石碑,石柱,匾额
stellar ['stelə] adj.恒星的
stelliform ['stelifɔ:m] adj.星形的,放射线状的
stellify ['stelifai] 使成星状
stellular ['steljulə] adj.小星形的,星点花样的
stem [stem] n.茎,干,词干,茎干v.滋生,阻止
stemma ['stemə] n.[动]（昆虫的）侧单眼,家系,家谱
stemmed [stemd] adj.有茎的,去掉茎的
stench [stentʃ] n.恶臭,臭气v.(使)发恶臭
stencil ['stensl] n.（用以刻写图案，文字的）模板v.用模板刻写
steno ['stenəu] n.速记,速记法
stenographer [ste'nɔgrəfə] n.速记员
stenographic [,stenə'græfik] adj.速记的,利用速记的
stenography [ste'nɔgrəfi] n.速记,速记法
stenohaline [生]狭盐性的固定盐度生物的
stenosis [sti'nəusis] [医](器官)狭窄
stenotherm [生]狭温性生物
stenotopic [生]窄幅分布的
stenotype ['stenətaip] n.使用普通文字的速记法vt.按音速记
stentorian [sten'tɔ:riən] adj.（指声音）极响亮的
step [step] down走下车等；降低；辞职
stepbrother ['step,brʌðə] n.同父异母(或同母异父)的哥哥(或弟弟)
stepchild ['steptʃaild] n.前夫(或前妻)所生子女
stepdaughter ['step,dɔ:tə] n.继女,过继的女儿
stepfather ['step,fɑ:ðə] n.继父
stepladder ['step,lædə] n.活梯
stepmother ['step,mʌðə] n.继母
stepparent ['step,pɛərənt] n.继父(母)
steppe [step] n.特指西伯利亚一带没有树木的大草原
stepped [stept] vbl.踏,行走
stepper ['stepə] n.以特殊姿态行走的人或动物,跳舞者
stepping 步进,分级
stepsister ['step,sistə] n.异父姊妹
stepson ['stepsʌn] n.继子,过继的儿子
stercoricolous [,stə:kə'rikələs] [生]粪栖的(如某些昆虫)
stere [stiə] n.立方公尺,立方米
stereo ['steriəu] n.立体声系统,立体声,[印]铅版,立体照片adj.立体的,立体感觉的
stereobate [建]屋基柱基
stereochemistry n.[化]立体化学
stereogram ['steriəgræm] 立体图,体视图,极射(赤面投影)图
stereograph ['steriəgræf] n.立体画,立体照片
stereographic [steriə'grɑ:fik] adj.立体画法的,立体照相的
stereography [,steri'ɔgrəfi] n.立体画法,立体平画法
stereoisomer [,steriəu'aisəmə] [化]立体异构术
stereophonic [,steriə'fɔnik] adj.立体音响的
stereophotography 立体摄影术体视照相摄影术
stereopsis [,steri'ɔpsis] 立体观测立体影象
stereopticon [,steri'ɔptikən] n.立体感幻灯机,立体感投影仪
stereoscope ['steriəskəup] n.立视镜,立体镜,立体照相镜
stereoscopic [,steriəs'kɔpik] adj.实体镜的有立体感的
stereoscopy [,steri'ɔskəpi] 立体视法立体镜学
stereosonic 立体声的
stereotaxis 趋实体性,趋触性
stereotomy [,steri'ɔtəmi] 分体学[术],切体学[术](尤指石头切割术)
stereotropism [生]向实体趋性
stereotype ['steriətaip] n.[印]铅版,陈腔滥调,老套vt.使用铅版,
stereotyped ['steriətaipt] adj.用铅版印刷的,套用老调的
stereotypy ['steriətaipi] n.铅版印刷术
steric ['sterik] [化](原子的)空间(排列)的位的
sterile ['sterail] adj.贫脊的,不育的,不结果的,消过毒的,
sterility [stə'riləti] n.不毛,不育,中性,无结果,无菌状态,思
sterilization [,sterilai'zeiʃən] n.杀菌,绝育
sterilize ['sterilaiz] vt.杀菌,消毒,使成不毛
sterlet ['stə:lit] [动]小体鲟(产于里海)
sterling ['stə:liŋ] n.英国货币,标准纯银adj.英币的,纯银制
stern [stə:n] adj.严厉的,苛刻的n.船尾
sternal ['stə:nəl] adj.[解]胸骨的
sternly ['stə:nli] adv.严厉地,苛刻地,坚决地
sternness ['stə:nis] n.严格,严厉
sternocostal 胸肋的胸骨锁骨的
sternum ['stə:nəm] n.[解]胸骨,胸片,胸板
sternutation [,stə:nju'teiʃən] n.打喷嚏,喷嚏
sternutator [化]催嚏剂
steroid ['stiərɔid] n.[生化]类固醇
sterol ['sterəul] n.固醇，甾酮
stertor ['stə:tə] n.鼾声
stertorous ['stə:tərəs] adj.打鼾的
stet [stet] n.不删除,保留v.在已经删除的稿边上写ste
stethoscope ['steθəskəup] n.听诊器vt.用听诊器诊断
stethoscopic ['steθəskɔpik] adj.听诊器的
stevedore ['sti:vidɔ:] n.搬运工
stew [stju:] v.炖,焖,受闷热n.炖肉(或菜),闷热,拥挤,鱼塘,人工养蚝场
steward ['stju:əd] n.(轮船,飞机等)乘务员,干事
stewardess ['stju:ədis] n.(轮船,飞机等)女乘务员
stibine 锑化(三)氢
stibnite 辉锑矿
stick [stik] n.棍,棒,手杖v.粘住,粘贴vt.刺,戳
stickability 耐力,坚持力忍受力粘着性
sticker ['stikə] n.不屈不挠的人,滞销物,滞销货
stickily ['stikili] 
stickiness ['stikinis] n.粘性,胶粘
sticking [stik] adj.粘的,有粘性的
stickit (事物、产品等)不完全的(做事)失败的
stickle ['stikl] v.坚持己见
stickleback ['stiklbæk] n.[鱼]棘鱼
stickler ['stiklə] n.坚持己见的人,困难的问题
stickpin ['stikpin] n.领带夹(指插于领带上的装饰别针)
sticky ['stiki] adj.粘的,粘性的
stiff [stif] adj.硬的,僵直的,拘谨的,呆板的,艰难的,费劲的,僵硬的
stiffen ['stifn] vt.使硬,使僵硬,使生硬,使粘稠vi.变粘,
stiffener ['stifənə] n.使僵硬的人(或物)
stiffening ['stifniŋ] n.（使衣服等）变硬的材料
stiffly ['stifli] adv.顽固地,呆板地,僵硬地
stiffness ['stifnis] n.坚硬,硬度
stifle ['staifl] vt.使窒息,抑制vi.窒息,闷死
stifling ['staifliŋ] adj.沉闷的
stigma ['stigmə] n.污名,(植物)柱头,[动物]气门,耻辱
stigmata ['stigmətə] n.皮肤上的红斑,特征
stigmatic [stig'mætik] adj.有烙印的,污辱的,丑恶的
stigmatism n.有小斑(状态),有圣疤,折光正常
stigmatize ['stigmətaiz] vt.打烙印,诬蔑
stilbene ['stilbi:n] 芪1,2-二苯乙烯均二苯代乙烯
stilbestrol [stil'bestrəul] 已烯雌酚
stilbite 辉沸石
stile [stail] n.墙(或篱的)两侧的阶梯(供人畜通行用)
stiletto [sti'letəu] n.小剑，匕首
still [stil] n.寂静,剧照,照片adj.静止的,静寂的adv.还,仍,更,还要,尽管如此,依然静止画面,静态图片
stillness ['stilnis] n.静止,沉静
stilly ['stili] adj.寂静的,平静的adv.静静地,默默地
stilt [stilt] n.高跷,支柱,脚柱vt.使踏上高跷
stilted ['stiltid] adj.（文章，谈话）不自然的
stime [苏、爱]少量一点点少许一瞥
stimulant ['stimjulənt] n.刺激物
stimulate ['stimjuleit] vt.刺激,激励v.刺激,激励
stimulated ['stimjuleit] 刺激
stimulating ['stimjuleit] adj.刺激的,有刺激性的
stimulation [,stimju'leiʃən] n.激励,鼓舞,刺激
stimulus ['stimjuləs] n.刺激物,促进因素,刺激,刺激
sting [stiŋ] n.刺,刺痛,针刺v.刺,刺痛,刺激
stingaree n.[动]黄貂鱼
stinger ['stiŋə] n.刺激者,讽刺者
stingily ['stindʒili] adv.吝啬地,小气地
stinginess ['stindʒinis] n.小气
stinging ['stiŋiŋ] adj.刺一样的,刺人的,激烈的
stingray n.[鱼]黄貂鱼
stingy ['stindʒi] adj.吝啬的，小气的
stink [stiŋk] v.发出臭味
stinker ['stiŋkə] n.发恶臭之人(动物或物体),臭鬼
stinking ['stiŋkiŋ] adj.臭的,烂醉的,讨厌的
stinky ['stiŋki] n.[俚]全景雷达,环视雷达站adj.发恶臭的
stint [stint] v.紧缩节省
stipe [staip] n.柄,叶柄
stipend ['staipend] n.薪金,定期生活津贴
stipendiary [stai'pendjəri] adj.有俸给的,领薪金的n.领薪金者,受俸
stipes ['staipi:z] n.甲壳类及昆虫的第一对足的第二节,叶柄
stipple ['stipl] v.点画，点描.
stipular ['stipjələ] adj.[植]托叶的,有托叶的,生在托叶上的
stipulate ['stipjuleit] v.规定,保证
stipulation [,stipju'leiʃən] n.约定,约束,契约
stipule ['stipju:l] n.[植]托叶
stir [stə:] n.轰动,搅动,监牢vt.动,移动,摇动,激起,搅和,惹起vi.走动,传播,流行
stirabout ['stə:rəbaut] n.活动分子,麦或玉米稀饭,吵闹
stirk [苏]一两岁的牛犊
stirp n.优种繁殖(法),世系,家系,血统,种
stirps [stə:ps] n.种族,祖先
stirring ['stə:riŋ] adj.激动人心的,活跃的,忙碌的
stirrup ['stirəp] n.马镫,镫形物
stitch [stitʃ] v.缝,缝合n.一针,针脚,缝针
stiver ['staivə] n.小钱,一点点
stoa ['stəuə] n.(古希腊建筑的)拱廊,柱廊
stoat [stəut] n.[动]白鼬
stochastic [stə'kæstik] adj.随机的
stock [stɔk] n.树干,库存,股票,股份,托盘,祖先,血统,原料adj.股票的,普通的,常备的,存货的,繁殖用的vt.装把手于,进货,备有,放牧vi.出新芽,采购
stockade [stɔ'keid] n.栅栏,围起处vt.用栅栏围住
stockbroker ['stɔk,brəukə] n.股票经纪人
stockholder ['stɔk,həuldə] n.股东
stockholding ['stɔk,həuldiŋ] adj.持有股份的
stockily ['stɔkəli] adv.矮而粗壮地,一本正经地
stockiness 
stocking ['stɔkiŋ] n.长袜
stockish ['stɔkiʃ] (象木石一样)愚蠢的
stockist n.有库存的批发商或零售商
stockpile ['stɔkpail] n.积蓄,库存vt.储蓄,贮存
stockroom ['stɔkrum] n.商品储藏室,仓库
stocktaking ['stɔk,teikiŋ] n.存货盘点,打量
stocky ['stɔki] adj.矮胖的，粗壮的
stockyard ['stɔkjɑ:d] n.牲畜围栏
stodge [stɔdʒ] n.油腻的食物,贪吃的人vi.狼吞虎咽,艰难
stodgily 
stodginess ['stɔdʒinis] n.难消化,笨拙
stodgy ['stɔdʒi] adj.艰涩难懂的，乏味的
stoic ['stəuik] n.高度自制者；坚忍克己之人
stoical ['stəuikəl] adj.坚忍的,不以苦乐为意的
stoically ['stəuikli] 坦然
stoicism ['stəuisizəm] n.坚忍克己
stoke [stəuk] v.司炉,(使)大吃
stoker ['stəukə] n.司炉,烧炉工人,加煤机
stole [stəul] vbl.steal的过去式n.女用披肩,圣衣,长巾
stolen ['stəulən] vbl.steal的过去分词
stolid ['stɔlid] adj.不易激动的,感觉迟钝的,神经麻木的
stolidity [stɔ'liditi] n.迟钝,感觉麻木
stolidly ['stɔlidli] adv.迟钝地,神经麻木地
stollen ['stəulən] [德]果子甜面包,葡萄干甜面包
stolon n.匍匐枝
stoloniferous 具匍匐茎的
stoma ['stəumə] n.(植物)气孔,[动物]气门
stomach ['stʌmək] n.胃,胃口,胃部v.容忍
stomachache ['stʌməkeik] n.胃痛,肚子痛
stomacher ['stʌməkə] n.三角胸衣
stomachic [stəu'mækik] adj.健胃的
stomachy ['stʌməki] [英方]易怒的
stomatitis [,stəumə'taitis] n.[医]口腔炎
stomatology [,stəumə'tɔlədʒi] n.[医]口腔病学
stomatopod [动]口脚类动物
stomatous 有孔的,有气孔的
stomp [stɔmp] n.跺脚vt.跺,践踏,重踏vi.跺脚,践踏,
stone [stəun] n.石,石头,宝石
stoned [stəund] adj.去核的,醉酒的,飘飘欲仙的
stonemason ['stəun,meisən] n.石工,石匠
stonewall ['stəun'wɔ:l] v.阻碍议事，妨碍
stoneware ['stəunwɛə] n.瓷器
stonework ['stəunwə:k] n.石雕工艺,做石工的场所
stoney 模造大理石
stonily ['stəunəli] adv.石头地,冷酷地
stony ['stəuni] adj.多石的,无情的
stood [stud] vbl.stand的过去式和过去分词
stooge [stu:dʒ] n.喜剧里的配角或丑角,助手,伙伴vi.充当
stool [stu:l] n.凳子,大便,厕所vi.长新枝vt.诱捕
stoop [stu:p] n.弯腰,屈背,屈服vi.弯下,弯下上身,屈服,弯腰,堕落vt.俯曲,辱没
stop [stɔp] n.停止,车站,逗留,障碍,风琴的音栓,填
stop...from 阻止
stopcock ['stɔpkɔk] n.[机]管闩,活塞,活栓,旋塞阀
stope [stəup] n.采矿场v.在采矿场采矿
stopgap ['stɔpgæp] n.补缺者,权宜之计adj.暂时的,权宜的
stopover ['stɔp,əuvə] n.中途停留
stoppage ['stɔpidʒ] n.中断,填塞
stopper ['stɔpə] n.塞子,制动器,阻塞物,制止者v.塞住
stopping ['stɔpiŋ] vbl.停止,停下来
stopple ['stɔpl] n.塞子vt.用塞子塞住
stopwatch ['stɔp,wɔtʃ] n.(赛跑时用的)秒表,跑表,停表,马表
storable adj.耐储藏的，耐贮存的
storage ['stɔ:ridʒ] n.贮藏(量),贮藏库,存储
storatron 存储管
storax ['stɔ:ræks] n.[药]苏合香,安息香料(=styracaceae)植物
store [stɔ:] vt.贮藏,贮备,存储n.商店,店铺,贮藏,
storehouse ['stɔ:haus] n.宝库，见识广博之人
storeroom ['stɔ:rum] n.储藏室,库房
storey ['stɔ:ri] n.[建]层
storiette [,stɔ:ri'et] n.小故事,短篇故事
stork [stɔ:k] n.[鸟]鹳
storm [stɔ:m] n.暴风雨,暴风雪v.狂怒咆哮abbr.[军]Se
stormbound ['stɔ:mbaund] adj.因暴风雨而被困的
stormily 猛烈
storminess 风暴度,磁暴度,猛烈
stormy ['stɔ:mi] adj.暴风雨的,多风暴的,激烈的,暴怒的,
story ['stɔ:ri] n.故事,小说,传说,事迹,经历,假话,谎
storybook ['stɔ:ribuk] n.故事书,小说
storyteller ['stɔ:ri,telə] n.说故事的人,作家
