abase v.降低，羞辱
submissive a.屈服的；胆怯的
subordinate a.低级的；下级的；次要的
suborn v.教唆
subpoena n.传票
subsequent a.后来的；接下来的
subservient a.奴隶似的；奴性的
subside v.下沉；平息；减退
subsidiary a.次要的；辅助的
subsidy n.政府的补助
subsistence n.存在；生存
substantial a.坚实的；充实的
substantiate v.证实；验证
substantive a.真实的；有实质的；大量的
subterfuge n.借口；托辞
subtlety n.精明；稀薄；微妙
subversive a.颠覆性的；破坏性的
succinct a.简洁的；紧身的
succor v.救援；援助
succulent a.多汁的
succumb v.屈服；屈从；死
suffragist n.扩大参政权；扩大妇女参政权
sully v.弄脏；玷污
sultry a.闷热的，酷热的；放荡的；粗暴的
summation n.结算；累计；总结
summit n.巅峰；顶点
sumptuous a.奢侈的；华丽的
sunder v.分裂
supercilious a.自大的；傲慢的
superficial a.肤浅的；浅薄的
superfluous a.不必要的；多余的
superimpose v.添加
supersede v.取代；推迟
supplant v.篡位；取代
supple a.柔顺的；顺从的；柔韧的
supplicate v.恳求；祈祷
supposition n.假定；假想
suppress v.镇压；抑制；查禁
surfeit v.饮食过度；恶心
surly a.粗暴的；阴沉的；板着脸的；无礼的
surmise v.猜测
surmount v.克服
surpass v.超越
surreptitious a.暗中的；秘密的
surrogate n.代理；代替
surveillance n.监视；监督
susceptible a.易受影响的；易感动的；易患病的
sustain v.支撑；延续
sustenance n.食物；生计
suture n.缝合；缝合处
swagger v.大摇大摆；自大
swarm n.一大群；挤满，占满，蜂拥
swarthy a.暗的；有雾的
swathe v.包装物；绷带
swelter v.闷热；中暑
swerve v.转向；突然转向
swill v.痛饮
swindler n.骗子
sybarite n.纵情逸乐之徒
sycophant n.马屁精；阿谀奉承者
symbiosis n.共生现象
symmetry n.对称；匀称
synoptic a.概要的
synthesis n.合成
table v.搁
tacit a.默许的；会意的
taciturn a.沉默寡言的
tactile a.触觉的
taint v.污染，感染；污点
talisman n.护身符；避邪物
talon n.鸟爪
tangential a.外围的；切线的
tangible a.可触摸的；真实的
tanner n.皮革工人；6便士
tantalize v.逗弄；使其干着急
tantamount a.同等的
tantrum n.发脾气；暴怒
tarantula n.毒蜘蛛
tarry v.等候；逗留；混日子
taut a.紧张的；整洁的
tautological a.同义反复的
tautology n.同义反复
tawdry a.俗丽的；便宜且华而不实
tedious a.令人厌倦的
temerity n.鲁莽的
temper v.中和；回火；调剂；锻炼
temperament n.气质；性情
temperate a.节制的；自我控制的
tempestuous a.有暴风雨的；暴乱的
tempo n.节奏，乐曲的速度
temporal a.暂时的
temporize v.拖延时间；见风使舵
tenacious a.顽强的
tenacity n.坚韧
tendentious a.偏见的；有目标的；预计好的
tender v.提供；扩充
tenet n.原则；信条
tensile a.可伸展的；可拉长的
tenuous a.纤细的
tenure n.任期；（土地的）使用年限
tepid a.冷淡的；微热的
termination n.结束
terminology n.术语学
terrestrial a.地的；地球的
terse a.简洁；扼要的
testy a.易怒的
tether v.用绳子绑；范围
thematic a.主题的；主题相关的
theocracy n.神权政治
theoretical a.理论的
therapeutic a.治疗的；治疗学的
thermal a.热的；热学的
thespian a.戏剧的
threadbare a.褴褛的；破烂不堪的
thrifty a.节省的；抠包的
thrive v.繁荣；昌盛
throes n.剧痛
throng n.聚集
thwart v.阻碍；挫败
tightwad n.吝啬鬼
tiller n.舵柄；农夫
timidity n.胆怯
timorous a.害怕的
tirade n.长篇慷慨激昂的演说
titanic a.巨大的
title n.名字；等级；拥有权
titter n.神经质的笑
titular a.有名无实的
toady n.谄媚的人；马屁精
tome n.册；卷
tonic a.精神充沛的
topography n.拓扑学
torpor n.迟钝；麻木；不活泼
torrent n.急流；洪水
torrid a.有激情的；热带的
torso n.未完成的；残缺的
tortuous a.曲折的，蜿蜒的
totter v.摇摆；摇摇欲坠
touchstone n.试金石；准绳；标准；尺度
touchy a.暴躁的；难以处理的；易上火的
tout v.吹捧
toxic a.有毒的
tract n.地域；小册子
tractable a.驯良的；温顺的；易处理的
traduce v.诽谤；中伤
trajectory n.弹道；轨迹；抛物线
tranquillity n.平静；冷静
transcendent a.卓越的；非比寻常的
transcribe v.复制
transgression n.犯罪
transient a.暂时的
transition n.过渡；转换；跃迁
transitory a.短时间的
translucent a.半透明的
transmute v.改变
transparent a.透明的；容易检测的，明晰的
transport n.运输；狂喜
trappings n.服饰；装饰
traumatic a.外伤的
travail n.辛苦劳作
traverse v.穿过
travesty n.滑稽化；滑稽模仿
treacly a.甜蜜的
treatise n.论文
trek n.旅行
tremor n.振动的
tremulous a.震荡的
trenchant a.锋利的
trepidation n.惧怕
trespass v.过失；侵入
tribute n.贡品；殷勤；颂词；礼物
trifling a.不重要的
trigger v.引起；触发；扳机
trinket n.小玩意儿；密谋
trite a.陈腐的
trivial a.不重要的
trough n.槽；低谷
truculence n.野蛮；粗鲁
truism n.真实性
truncate v.截去尖端
tryst n.约会；幽会
tumult n.吵闹；混乱
tundra n.苔原；冻土
turbid a.浑浊的；搅动了沉淀物的
turbulence n.湍流；骚乱；动荡
turgid a.肿胀的
turmoil n.骚动；混乱
turncoat n.叛徒；叛逆者
turpitude n.奸恶；卑鄙
tutelage n.监护
tycoon n.大亨
typhoon n.台风
tyranny n.暴政；专制
tyro n.新手
ubiquitous a.无所不在的
ulterior a.将来的；隐蔽的
ultimate a.终极的
unaccountable a.无责任的；无法解释的
unanimity n.全体同意；全体一致
unassailable a.攻不破的
unassuming a.谦逊的
unbridled a.放肆的；肆虐的
uncanny a.离奇的
unconscionable a.不合理的；不道德的；过度的
uncouth a.笨拙的；粗俗的
Unctuous a.油的；油质的；松软肥沃的
underlying a.根本的；在下面的；潜在的
undermine v.破坏
underscore v.强调
undulating a.波浪的
unearth v.出土；发掘
unequivocal a.明白清楚的
unerringly a.正确无误的
unfathomable a.不可理解的；不能渗透的
unfetter v.解放
unfrock v.解除神职
ungainly a.糟糕的；笨拙的
uniformity n.一致性；同样
unimpeachable a.无懈可击的
uninhibited a.放荡不羁的；不受限制的
unintimidating a.无惧的
unique a.独一无二的
universal a.通用的
unkempt a.蓬乱的；粗野的；不洁的
unmitigated a.未缓和的；绝对的
unobtrusive a.不显眼的；朴素的
unpalatable a.厌恶的；不好吃的；味道糟糕的
unprecedented a.空前的
unprepossessing a.不吸引人的
unravel v.拆开；解决
unrequited a.不报答的，不回应的
unruly a.不服从的；倔强的
unscathed a.没有受伤的
unseemly a.不体面的
unsightly a.难看的
unstinting a.慷慨的；无保留的
untenable a.防不住的；防不胜防的；站不住的
unwarranted a.莫名其妙的；没来由的；冤枉的
unwieldy a.糟糕的；笨拙的
unwitting a.不知情的
upbraid v.责备
upshot n.结果
urbane a.文雅的；高雅的；彬彬有礼的
usurp v.篡取
utopia n.乌托邦
vacuous a.空虚的；空的
vagabond n.流浪者
vagrant n.无家可归的流浪者
valedictory a.告别的
valid a.正当的；有效的
validate v.批准；确认
valor n.英勇；勇猛
vampire n.吸血鬼
vanguard n.先驱；先锋
vantage n.优势
vapid a.平淡单调的；索然无味的；缺乏想象力的
vaporize v.蒸发
variegated a.杂色的
veer v.转向
vehement a.激烈的；热烈的
velocity n.速度
venal a.贪污的
vendetta n.深仇；世仇
vendor n.卖主
veneer n.薄板；外表
venerable a.庄严的；值得尊重的
venerate v.崇敬
venial a.可宽恕的
venom n.毒液；恶毒
vent n.出口，出路
vent v.表达；发泄
ventriloquist n.口技表演者
venturesome a.冒险的
veracity n.真实；准确性
verbalize v.描述
verbatim ad.逐字的
verbiage n.空话；大话
verbose a.冗长的
verdant a.翠绿的；生疏的；无经验的
verge n.边界
verisimilitude n.逼真
verity n.真实；真理；真实的陈述
vernacular n.母语；本国；本来的东西
versatile a.万能的；通用的；多面手的
vertex n.顶点
vertigo n.晕眩
verve n.神韵；活力；热情
vestige n.遗迹；痕迹；残留物
vex n.激怒；惹恼
viable a.能养活的；可行的
vicarious a.代理的；代理人的
vicissitude n.转运
vie v.竞争
vigilance n.警惕
vignette n.小插图
vigor n.活力
vilify v.诽谤；辱骂
vindicate v.辩护；维护
vindictive a.报复性的
viper n.蝰蛇
virile a.男子的；男子气概的
virtual a.有效的；实质的；虚的
virtue n.美德
virtuoso n.艺术品鉴赏家
virulent a.剧毒的
virus n.病毒
visceral a.内脏的
viscid a.粘合的
viscous a.粘的
vise n.老虎钳
visionary a.幻想的
vital a.重要的；生命的；生机的
vitriolic a.腐蚀的；硫酸的；讽刺的
vituperative a.责骂的
vivacious a.生动的
vociferous a.喊叫的；吵闹的
vogue n.时尚
volatile a.挥发的；飞行的；可变的；爆炸的
volition n.意志
voluble a.口齿伶俐的；爱说话的
voluminous a.庞大的
voluptuous a.令人满足的
voracious a.贪婪的；狼吞虎咽的
vortex n.漩涡；漩涡中心；（争斗、讨论的）中心
vouchsafe v.允许；赐予
voyeur n.偷窥者
vulnerable a.易受攻击的
waffle v.闲聊；胡扯
waft v.飘荡；信号
waggish a.滑稽的；爱开玩笑的
waif n.流浪儿童；流浪者
waive v.暂时放弃；屈从
wake n.尾迹；痕迹
wallow v.打滚；沉湎；堕落
wan a.苍白的
wane v.减少；变弱
wanton a.荒唐的；挥霍的；放荡的；不受限制的
warble v.颤声轻唱；鸟鸣
warrant v.授权；证明；批准
warranty n.担保；保证
wary a.机警的；小心的
wastrel n.废物；饭桶；放荡的人
watershed n.分水岭
wax v.增长
waylay v.埋伏；伏击；抢劫
wean v.断奶；丢弃
weather v.侵蚀；风化
welter n.翻滚；挣扎；骚乱；搅乱
wheedle v.哄骗；诱骗
whelp n.幼兽
whet v.锐化；刺激
whiff n.一吹；一喷
whimsical a.无常的；古怪的
whinny v.马嘶
whittle v.切；削；损害
willful a.顽固的；故意的
wily a.狡猾的
wince v.退缩
windfall n.横财
winnow v.扬谷；分出好坏
winsome a.迷人的
wispy a.纤细的；脆弱的
wistful a.渴望的
withdrawn a.内向的；孤僻的
wither v.凋谢；枯萎
withhold v.拒给；保留
withstand v.抵抗；经受住
witless a.无知的；轻率的
witticism n.俏皮话
wizardry n.巫术，魔术
woe n.悲哀的
worldly a.世俗的
wrath n.恼火；愤怒
wrench v.扭曲；扭伤；曲解；折磨；拉
writhe v.翻腾
wry a.歪曲的；扭曲的
xenophobia n.惧外的
yen n.渴望；瘾
yield v.屈服；放弃
yield n.产出；（投资的）回报
yoke v.结合；连接
yore n.往昔
zany a.滑稽的；疯狂的
zeal n.热心；热诚
zealot n.狂热者
zenith n.顶点
zephyr n.和风；徐风
